zipcode,agi_stub,Adjusted_gross_income
10462,6,57493.0
10463,1,149667.0
10463,2,278398.0
10463,3,314728.0
10463,4,283457.0
10463,5,632676.0
10463,6,627259.0
10466,1,181476.0
10466,2,358869.0
10466,3,276460.0
10466,4,197478.0
10466,5,280933.0
10466,6,39278.0
10467,1,277302.0
10467,2,482057.0
10467,3,375601.0
10467,4,204468.0
10467,5,245343.0
10467,6,38169.0
10468,1,253765.0
10468,2,353857.0
10468,3,244639.0
10468,4,123995.0
10468,5,126983.0
10468,6,26932.0
10469,1,161782.0
10469,2,326297.0
10469,3,312673.0
10469,4,230275.0
10469,5,387891.0
10469,6,107362.0
10470,1,35324.0
10470,2,70153.0
10470,3,78258.0
10470,4,60950.0
10470,5,122073.0
10470,6,48384.0
10472,1,199407.0
10472,2,293795.0
10472,3,192611.0
10472,4,97833.0
10472,5,106862.0
10472,6,15513.0
10473,1,160487.0
10473,2,295793.0
10473,3,250754.0
10473,4,169819.0
10473,5,231996.0
10473,6,36166.0
11101,1,73041.0
11101,2,142978.0
11101,3,195798.0
11101,4,188525.0
11101,5,530405.0
11101,6,798736.0
11102,1,82113.0
11102,2,165116.0
11102,3,204526.0
11102,4,174658.0
11102,5,329940.0
11102,6,205419.0
11103,1,83412.0
11103,2,184412.0
11103,3,252964.0
11103,4,188382.0
11103,5,307180.0
11103,6,178311.0
11104,1,62128.0
11104,2,125458.0
11104,3,158753.0
11104,4,143873.0
11104,5,262124.0
11104,6,203846.0
11106,1,90966.0
11106,2,183256.0
11106,3,246991.0
11106,4,196125.0
11106,5,377817.0
11106,6,199387.0
11201,1,69807.0
11201,2,152088.0
11201,3,265702.0
11201,4,308952.0
11201,5,1117141.0
11201,6,5062947.0
11204,1,208574.0
11204,2,287828.0
11204,3,223517.0
11204,4,175218.0
11204,5,363556.0
11204,6,611816.0
11205,1,91033.0
11205,2,157270.0
11205,3,171603.0
11205,4,145448.0
11205,5,343320.0
11205,6,519519.0
11206,1,222879.0
11206,2,379056.0
11206,3,319940.0
11206,4,192179.0
11206,5,272554.0
11206,6,178241.0
11207,1,286339.0
11207,2,469610.0
11207,3,330619.0
11207,4,192969.0
11207,5,236519.0
11207,6,51571.0
11208,1,303089.0
11208,2,462665.0
11208,3,315337.0
11208,4,173847.0
11208,5,198018.0
11208,6,29545.0
11209,1,128568.0
11209,2,241077.0
11209,3,336492.0
11209,4,340154.0
11209,5,777112.0
11209,6,837556.0
11210,1,141514.0
11210,2,283162.0
11210,3,265008.0
11210,4,201883.0
11210,5,380627.0
11210,6,1008063.0
11211,1,126069.0
11211,2,240456.0
11211,3,314307.0
11211,4,278281.0
11211,5,622021.0
11211,6,890614.0
11212,1,259411.0
11212,2,407665.0
11212,3,280699.0
11212,4,151340.0
11212,5,153727.0
11212,6,17776.0
11213,1,170393.0
11213,2,312981.0
11213,3,266029.0
11213,4,164842.0
11213,5,219649.0
11213,6,145014.0
11215,1,72992.0
11215,2,192001.0
11215,3,316051.0
11215,4,320492.0
11215,5,1002403.0
11215,6,2982101.0
11217,1,54687.0
11217,2,130065.0
11217,3,195258.0
11217,4,198731.0
11217,5,584363.0
11217,6,1688258.0
11218,1,161948.0
11218,2,271514.0
11218,3,267282.0
11218,4,242505.0
11218,5,571169.0
11218,6,560647.0
11219,1,263356.0
11219,2,261228.0
11219,3,170570.0
11219,4,118381.0
11219,5,247096.0
11219,6,603778.0
11220,1,457463.0
11220,2,381901.0
11220,3,236794.0
11220,4,153141.0
11220,5,260914.0
11220,6,175747.0
11221,1,221326.0
11221,2,454466.0
11221,3,382400.0
11221,4,232533.0
11221,5,304959.0
11221,6,168598.0
11222,1,69862.0
11222,2,182798.0
11222,3,273048.0
11222,4,240732.0
11222,5,505606.0
11222,6,560227.0
11223,1,189868.0
11223,2,279732.0
11223,3,236350.0
11223,4,202397.0
11223,5,380040.0
11223,6,1114038.0
11224,1,116384.0
11224,2,180148.0
11224,3,147896.0
11224,4,111834.0
11224,5,203439.0
11224,6,105811.0
11225,1,146877.0
11225,2,326052.0
11225,3,327978.0
11225,4,220610.0
11225,5,320347.0
11225,6,276599.0
11226,1,292044.0
11226,2,574155.0
11226,3,472466.0
11226,4,296128.0
11226,5,387631.0
11226,6,238117.0
11229,1,175806.0
11229,2,299515.0
11229,3,305070.0
11229,4,277277.0
11229,5,629148.0
11229,6,625345.0
11230,1,184479.0
11230,2,306324.0
11230,3,280584.0
11230,4,236764.0
11230,5,496359.0
11230,6,1293298.0
11231,1,52098.0
11231,2,106943.0
11231,3,143928.0
11231,4,141678.0
11231,5,474730.0
11231,6,1729183.0
11232,1,79894.0
11232,2,116463.0
11232,3,101231.0
11232,4,71342.0
11232,5,125768.0
11232,6,79773.0
11233,1,181313.0
11233,2,354142.0
11233,3,295435.0
11233,4,175762.0
11233,5,242558.0
11233,6,126049.0
11235,1,196211.0
11235,2,310370.0
11235,3,318176.0
11235,4,280311.0
11235,5,601157.0
11235,6,685339.0
11236,1,240044.0
11236,2,511458.0
11236,3,458990.0
11236,4,355471.0
11236,5,522122.0
11236,6,110303.0
11237,1,132298.0
11237,2,268285.0
11237,3,222684.0
11237,4,126303.0
11237,5,151097.0
11237,6,55406.0
11238,1,95700.0
11238,2,241503.0
11238,3,359754.0
11238,4,315738.0
11238,5,724914.0
11238,6,1283320.0
11365,1,104506.0
11365,2,169302.0
11365,3,180077.0
11365,4,165309.0
11365,5,383178.0
11365,6,218767.0
11368,1,334907.0
11368,2,463489.0
11368,3,322520.0
11368,4,170622.0
11368,5,180636.0
11368,6,34729.0
11373,1,320340.0
11373,2,455151.0
11373,3,365174.0
11373,4,246448.0
11373,5,335377.0
11373,6,122023.0
11375,1,100573.0
11375,2,216192.0
11375,3,339138.0
11375,4,383443.0
11375,5,1057109.0
11375,6,1414697.0
11377,1,252645.0
11377,2,401851.0
11377,3,394864.0
11377,4,301086.0
11377,5,481586.0
11377,6,196582.0
11385,1,243426.0
11385,2,470903.0
11385,3,480713.0
11385,4,348175.0
11385,5,633168.0
11385,6,184868.0
11414,1,44620.0
11414,2,101314.0
11414,3,139371.0
11414,4,140399.0
11414,5,341261.0
11414,6,212675.0
11416,1,77130.0
11416,2,127630.0
11416,3,99175.0
11416,4,61271.0
11416,5,79042.0
11416,6,13464.0
11417,1,77032.0
11417,2,145812.0
11417,3,135638.0
11417,4,106251.0
11417,5,181954.0
11417,6,46676.0
11418,1,101339.0
11418,2,167163.0
11418,3,145375.0
11418,4,107557.0
11418,5,188113.0
11418,6,109892.0
11419,1,147496.0
11419,2,237087.0
11419,3,178265.0
11419,4,121308.0
11419,5,151832.0
11419,6,31060.0
11421,1,116924.0
11421,2,197564.0
11421,3,179858.0
11421,4,129021.0
11421,5,202480.0
11421,6,43953.0
11422,1,73292.0
11422,2,166745.0
11422,3,170482.0
11422,4,137818.0
11422,5,239828.0
11422,6,51981.0
11432,1,161236.0
11432,2,254881.0
11432,3,215997.0
11432,4,164634.0
11432,5,294804.0
11432,6,290692.0
11433,1,99357.0
11433,2,173800.0
11433,3,138339.0
11433,4,90174.0
11433,5,111999.0
11433,6,18342.0
11435,1,144773.0
11435,2,257258.0
11435,3,237295.0
11435,4,188172.0
11435,5,263456.0
11435,6,66829.0
11691,1,137510.0
11691,2,225089.0
11691,3,177482.0
11691,4,118837.0
11691,5,183311.0
11691,6,160903.0
11692,1,51454.0
11692,2,86619.0
11692,3,73502.0
11692,4,50209.0
11692,5,80939.0
11692,6,30728.0
11693,1,27231.0
11693,2,49886.0
11693,3,52265.0
11693,4,48921.0
11693,5,95383.0
11693,6,31730.0
11694,1,29746.0
11694,2,59757.0
11694,3,77697.0
11694,4,77913.0
11694,5,252222.0
11694,6,302119.0
