zipcode,ent_percent,ext_percent,agi_avg,line_name,stations
10007,72.0669810012481,66.44522013286792,4.431318681318682,ACE,"['CHAMBERS ST, CHAMBERS ST']"
10011,72.16455976935019,71.38512082750478,3.9317654852600197,ACE,"['8 AV, 23 ST, 23 ST, 23 ST, 14 ST, W 4 ST-WASH SQ, W 4 ST-WASH SQ']"
10019,72.00720944204345,69.670639219935,3.648932038834952,ACE,"['50 ST, 50 ST, CANAL ST, CANAL ST, 7 AV, 7 AV']"
10022,74.03805674833713,73.74824865422904,4.1324765200197735,ACE,"['5 AV/53 ST, 5 AV/53 ST']"
10023,68.48108998193987,68.2015931372549,3.9947674418604646,ACE,"['72 ST, 59 ST COLUMBUS, 59 ST COLUMBUS, 59 ST COLUMBUS']"
10025,58.66058906030855,54.61469534050179,3.2508718395815173,ACE,"['103 ST, 96 ST, 96 ST']"
10026,61.555806087936865,51.86147186147186,2.505171475231356,ACE,"['CATHEDRAL PKWY, CATHEDRAL PKWY']"
10027,52.54385657761126,44.8735926920149,2.3796829971181555,ACE,"['125 ST, 125 ST']"
10031,58.01379078372015,55.08295380611581,2.0592417061611377,ACE,"['145 ST, 145 ST']"
10032,45.566327737053676,44.91047338729458,2.00339558573854,ACE,['163 ST-AMSTERDM']
10033,58.39446833628468,54.52715106294783,2.1419117647058825,ACE,"['181 ST, 181 ST, 175 ST, 175 ST']"
10034,55.09531654506943,44.050148746281344,2.1699150424787605,ACE,"['INWOOD-207 ST, INWOOD-207 ST, DYCKMAN ST']"
10038,63.85371449135197,64.08940220297295,3.251592356687898,ACE,"['FULTON ST, FULTON ST, FULTON ST, FULTON ST, FULTON ST, FULTON ST']"
10040,50.24913760061326,43.24455205811138,2.140610545790934,ACE,['155 ST']
11101,61.854093660401404,59.46518193224592,3.0028639618138424,ACE,"['COURT SQ-23 ST, COURT SQ']"
11201,61.575923827697935,52.51469627694318,3.799701937406856,ACE,"['JAY ST-METROTEC, JAY ST-METROTEC, HOYT-SCHER']"
11207,50.24193119583134,43.93305439330544,1.8770473412609376,ACE,"['UTICA AV, UTICA AV, VAN SICLEN AVE']"
11208,39.87659548726635,34.857142857142854,1.8052526151791677,ACE,"['EUCLID AV, GRANT AV']"
11233,46.593890158246595,40.323076923076925,2.0672754946727547,ACE,"['RALPH AV, ROCKAWAY AV, ROCKAWAY AV']"
11238,60.069830185684815,51.00047266425083,3.0571338383838387,ACE,"['FRANKLIN AV, FRANKLIN AV']"
11365,52.6027913994719,50.53171983865053,2.4345210550670986,ACE,['BRIARWOOD']
11368,55.49795259025508,50.12013105205679,1.7403451109285129,ACE,"['FOREST HILLS 71, FOREST HILLS 71, FOREST HILLS 71']"
11375,49.52425915165601,47.32179309218584,3.1991063948617704,ACE,"['75 AV, KEW GARDENS, KEW GARDENS']"
11377,43.287123276927,36.727608771666915,2.135375923511517,ACE,"['JKSN HT-ROOSVLT, JKSN HT-ROOSVLT, 74 ST-BROADWAY']"
11414,51.401287108158606,38.372093023255815,2.8837555886736217,ACE,"['HOWARD BCH JFK, HOWARD BCH JFK, HOWARD BCH JFK']"
11416,45.484095658230785,38.77459749552773,1.9284009546539376,ACE,"['80 ST, 80 ST']"
11417,43.75,34.29735234215886,2.2312292358803987,ACE,"['ROCKAWAY BLVD, ROCKAWAY BLVD, 104 ST']"
11418,38.62268776465344,34.949797051911986,2.1222222222222222,ACE,['JAMAICA VAN WK']
11419,39.29257977700884,35.42269832078749,1.9100704517198508,ACE,"['111 ST, 111 ST, OZONE PK LEFFRT']"
11422,53.57798165137615,47.55244755244755,2.390625,ACE,['AQUEDUCT RACETR']
11433,41.01441446564126,40.72875933167437,1.9761620977353995,ACE,"['JAMAICA CENTER, JAMAICA CENTER']"
11691,35.30331457160725,35.13591671486408,2.026086956521739,ACE,"['BEACH 44 ST, BEACH 36 ST, FAR ROCKAWAY']"
11692,38.8340385519511,44.75524475524475,2.073115860517436,ACE,['BEACH 60 ST']
11693,49.02097902097902,35.768261964735515,2.402417962003454,ACE,"['BROAD CHANNEL, BEACH 90 ST, BEACH 98 ST']"
11694,57.01357466063349,31.363636363636363,3.0089686098654704,ACE,['BEACH 105 ST']
10001,63.282312433089324,59.812931920653824,3.3728813559322037,BDFM,"['34 ST-HERALD SQ, 34 ST-HERALD SQ, 34 ST-HERALD SQ, 34 ST-HERALD SQ, 34 ST-HERALD SQ']"
10002,63.95477606943264,62.50923054201743,2.2324426578387326,BDFM,"[""B'WAY-LAFAYETTE, B'WAY-LAFAYETTE, GRAND ST""]"
10011,70.81216877853777,67.72857539058889,3.9317654852600197,BDFM,"['6 AV, W 4 ST-WASH SQ, W 4 ST-WASH SQ, 14 ST, 14 ST, 14 ST, 14 ST']"
10012,68.40839034659048,66.02028108877424,3.7240829346092506,BDFM,['BLEECKER ST']
10018,65.2053228835007,64.13586413586414,3.5724743777452415,BDFM,['5 AVE']
10019,67.509058302529,65.65815532607158,3.648932038834952,BDFM,"['7 AV, 7 AV, 23 ST, 23 ST, 57 ST']"
10021,68.83833494675702,64.19520886953079,4.080085653104924,BDFM,['LEXINGTON AV/63']
10022,74.03805674833713,73.74824865422904,4.1324765200197735,BDFM,"['5 AV/53 ST, 5 AV/53 ST']"
10023,68.48108998193987,68.2015931372549,3.9947674418604646,BDFM,"['72 ST, 59 ST COLUMBUS, 59 ST COLUMBUS, 59 ST COLUMBUS']"
10025,58.66058906030855,54.61469534050179,3.2508718395815173,BDFM,"['103 ST, 96 ST, 96 ST']"
10026,61.555806087936865,51.86147186147186,2.505171475231356,BDFM,"['CATHEDRAL PKWY, CATHEDRAL PKWY']"
10027,52.54385657761126,44.8735926920149,2.3796829971181555,BDFM,"['125 ST, 125 ST']"
10031,58.01379078372015,55.08295380611581,2.0592417061611377,BDFM,"['145 ST, 145 ST']"
10039,38.71766648321409,29.52430196483971,2.0424739195231,BDFM,['155 ST']
10452,41.956699150304836,34.142529693686186,1.6559110629067242,BDFM,"['161/YANKEE STAD, 161/YANKEE STAD, 161/YANKEE STAD']"
10456,40.329896907216494,25.14948997537812,1.6178841925238212,BDFM,"['167 ST, 167 ST']"
10457,37.14160647844167,27.4543264404738,1.624811803673592,BDFM,"['174-175 STS, 174-175 STS, TREMONT AV, 182-183 STS']"
10458,39.22821678751382,35.74571385222273,1.704099307159353,BDFM,"['KINGSBRIDGE RD, KINGSBRIDGE RD']"
10467,40.86708499714775,29.812520924004016,1.9047095070422533,BDFM,"['NORWOOD 205 ST, NORWOOD 205 ST']"
10468,41.14983423627395,29.89628738914775,1.7416413373860182,BDFM,"['FORDHAM RD, FORDHAM RD']"
11101,54.54308434363186,49.036847220994964,3.0028639618138424,BDFM,"['COURT SQ-23 ST, 36 ST, 36 ST, COURT SQ, 21 ST-QNSBRIDGE']"
11103,53.73739234559941,48.884043834987665,2.5057526366251195,BDFM,"['STEINWAY ST, STEINWAY ST, 46 ST, 46 ST, 46 ST']"
11201,65.37423483583751,53.86358053334061,3.799701937406856,BDFM,"['DEKALB AV, JAY ST-METROTEC, JAY ST-METROTEC, YORK ST']"
11204,47.23796033994334,54.234234234234236,2.0970988750740083,BDFM,['BAY PKWY']
11206,51.15998621798553,36.75833490299492,2.0273458445040218,BDFM,"['LORIMER ST, MYRTLE AV']"
11211,46.22024807241033,43.868932532817745,2.7571382739813926,BDFM,"['MARCY AV, MARCY AV']"
11215,73.09022320025149,69.91847826086956,3.5591787439613523,BDFM,"['15 ST-PROSPECT, 15 ST-PROSPECT']"
11217,58.41210383073366,55.456841479720694,3.3923745173745177,BDFM,"['ATL AV-BARCLAY, ATL AV-BARCLAY']"
11218,45.17393434590887,44.13943355119826,2.4778681120144537,BDFM,"['DITMAS AV, DITMAS AV']"
11219,39.059449866903286,37.30533270410571,1.8405797101449275,BDFM,"['50 ST, 55 ST']"
11220,47.693387125065776,44.661266568483065,1.6332473276815331,BDFM,['9 AV']
11223,46.23020063357973,39.97603833865815,2.2025202520252023,BDFM,"['BAY PKWY, CHURCH AV, CHURCH AV, KINGS HWY, KINGS HWY, AVENUE U']"
11224,52.26110892646481,47.51381215469613,2.060187469166255,BDFM,"['W 8 ST-AQUARIUM, W 8 ST-AQUARIUM']"
11225,58.344540897420224,55.39492706006045,2.2899389263902283,BDFM,"['PROSPECT PARK, PROSPECT PARK']"
11226,48.66003264360554,46.21539109379935,2.0762102874432675,BDFM,"['CHURCH AV, CHURCH AV, BEVERLEY ROAD']"
11229,46.75881133379406,39.36440677966102,2.4513513513513514,BDFM,['AVENUE U']
11230,50.10504692095803,49.76141243836488,2.360365347356767,BDFM,"['AVENUE H, AVENUE J, AVENUE M, 18 AV, 18 AV, AVENUE I']"
11231,76.90898492797069,68.54867897213174,3.333906071019473,BDFM,"['CARROLL ST, CARROLL ST']"
11232,50.90855587434709,38.75486381322957,2.071046600458365,BDFM,['36 ST']
11235,47.908068877187986,41.37931034482759,2.363407258064516,BDFM,"['SHEEPSHEAD BAY, SHEEPSHEAD BAY']"
11238,73.7848347375243,68.9668318719024,3.0571338383838387,BDFM,['7 AV']
11365,52.6027913994719,50.53171983865053,2.4345210550670986,BDFM,['BRIARWOOD']
11368,55.033469387755105,49.944498404329124,1.7403451109285129,BDFM,"['63 DR-REGO PARK, FOREST HILLS 71, FOREST HILLS 71, FOREST HILLS 71']"
11373,46.8944578809242,36.839314124094045,1.8961115475255303,BDFM,"['WOODHAVEN BLVD, WOODHAVEN BLVD']"
11375,51.61914099735817,48.56541104167386,3.1991063948617704,BDFM,"['67 AV, 67 AV, 75 AV, KEW GARDENS, KEW GARDENS']"
11377,43.31744658925712,36.493137718883105,2.135375923511517,BDFM,"['65 ST, JKSN HT-ROOSVLT, JKSN HT-ROOSVLT, 74 ST-BROADWAY']"
11385,45.749711043396026,44.19073916737468,2.279602595296026,BDFM,"['SENECA AVE, FRESH POND RD']"
11432,46.268163804491415,39.577780894936176,2.1373937677053823,BDFM,"['PARSONS BLVD, PARSONS BLVD, 169 ST, 169 ST']"
11435,46.79387619258931,31.351869606903165,2.1421641791044777,BDFM,"['SUTPHIN BLVD, SUTPHIN BLVD']"
11101,60.8182396852034,58.04016620498615,3.0028639618138424,G,"['COURT SQ-23 ST, COURT SQ, 21 ST']"
11201,54.50621546961326,49.973333333333336,3.799701937406856,G,['HOYT-SCHER']
11205,59.61805555555556,52.09155485398579,2.5929387331256493,G,"['BEDFORD-NOSTRAN, BEDFORD-NOSTRAN']"
11206,56.82258064516129,44.65573770491803,2.0273458445040218,G,"['MYRTLE-WILLOUGH, MYRTLE-WILLOUGH']"
11211,63.8897124221761,51.60418777440054,2.7571382739813926,G,"['LORIMER ST, METROPOLITAN AV, FLUSHING AV, FLUSHING AV']"
11215,73.09022320025149,69.91847826086956,3.5591787439613523,G,"['15 ST-PROSPECT, 15 ST-PROSPECT']"
11222,61.282969716704656,56.46407416945661,2.9347349978098998,G,['GREENPOINT AV']
11223,48.465576418332326,42.18358395989975,2.2025202520252023,G,"['CHURCH AV, CHURCH AV']"
11231,76.90898492797069,68.54867897213174,3.333906071019473,G,"['CARROLL ST, CARROLL ST']"
11238,63.72727272727273,61.07272727272727,3.0571338383838387,G,['CLASSON AV']
10003,62.288411458333336,63.106960950764005,3.7965457685664936,L,"['3 AV, 3 AV']"
10011,72.56563642406115,69.17810945273632,3.9317654852600197,L,"['8 AV, 6 AV, 14 ST, 14 ST, 14 ST, 14 ST, 14 ST']"
10035,62.90085039669343,62.84231834151562,2.1381322957198443,L,"['14 ST-UNION SQ, 14 ST-UNION SQ, 14 ST-UNION SQ, 14 ST-UNION SQ, 14 ST-UNION SQ']"
11206,62.941966283753544,43.83795309168443,2.0273458445040218,L,"['MONTROSE AV, MORGAN AV']"
11207,45.27648234510326,37.05977966407802,1.8770473412609376,L,"['WILSON AV, BUSHWICK AV, ATLANTIC AV, SUTTER AV, LIVONIA AV']"
11211,65.07843424717784,55.97729115977291,2.7571382739813926,L,"['LORIMER ST, GRAND ST, GRAND ST, METROPOLITAN AV']"
11236,41.18502362777172,48.50218781555032,2.2294506402313097,L,"['EAST 105 ST, CANARSIE-ROCKAW']"
11237,52.246723528188056,39.682539682539684,2.035938152946093,L,['DEKALB AV']
11385,51.81975736568457,52.89855072463768,2.279602595296026,L,"['HALSEY ST, HALSEY ST']"
10004,52.51651462724127,65.02137582588418,4.2693877551020405,JZ,"['BROAD ST, BROAD ST']"
10012,48.05148373257061,33.72859025032938,3.7240829346092506,JZ,['BOWERY']
10013,65.04056474554841,64.5150128791665,3.466974900924703,JZ,"['CANAL ST, CANAL ST']"
10038,63.85371449135197,64.08940220297295,3.251592356687898,JZ,"['FULTON ST, FULTON ST, FULTON ST, FULTON ST, FULTON ST, FULTON ST']"
11206,51.15998621798553,36.75833490299492,2.0273458445040218,JZ,"['LORIMER ST, MYRTLE AV']"
11207,35.88067020841847,31.04594330400782,1.8770473412609376,JZ,"['ALABAMA AV, VAN SICLEN AV']"
11208,39.71802362504763,35.188390360804156,1.8052526151791677,JZ,"['CLEVELAND ST, NORWOOD AV, CYPRESS HILLS']"
11211,46.22024807241033,43.868932532817745,2.7571382739813926,JZ,"['MARCY AV, MARCY AV']"
11221,52.89236415862124,39.971608193064284,2.0943350352540726,JZ,"['KOSCIUSZKO ST, GATES AV']"
11233,41.78272980501393,34.40860215053763,2.0672754946727547,JZ,['CHAUNCEY ST']
11421,43.61086375779163,43.97862720920674,2.1039461020211743,JZ,"['85 ST-FOREST PK, WOODHAVEN BLVD, WOODHAVEN BLVD']"
11433,41.01441446564126,40.72875933167437,1.9761620977353995,JZ,"['JAMAICA CENTER, JAMAICA CENTER']"
10001,63.986108096375084,60.603218125405874,3.3728813559322037,NQRW,"['34 ST-HERALD SQ, 34 ST-HERALD SQ, 28 ST, 28 ST, 34 ST-HERALD SQ, 34 ST-HERALD SQ, 34 ST-HERALD SQ']"
10002,70.2709897247511,70.02870664908062,2.2324426578387326,NQRW,"[""B'WAY-LAFAYETTE, B'WAY-LAFAYETTE""]"
10003,76.6053274996783,76.12335635228455,3.7965457685664936,NQRW,"['8 ST-NYU, 8 ST-NYU']"
10007,66.9078630004824,61.76750079189104,4.431318681318682,NQRW,['CITY HALL']
10010,76.56809821812449,73.50461987356135,3.883124287343216,NQRW,"['23 ST, 23 ST']"
